구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,0.9534724598015737,0.6613856703712462,77.73,85.71,76.92,42.86,86.48,570500.0,2780,0.8945402534855443,85.46000924641703
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4457748888128634,0.28966658784582644,78.85,100.0,75.0,33.35,82.89,453233.0,773,0.22331025385578157,85.55016181229772
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.12692439274717754,0.2747694490423268,82.35,92.86,100.0,43.1,88.64,330192.0,748,0.2989492673125259,94.07073509015255
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5620937393089291,0.42823362497044226,69.06,100.0,88.89,30.56,80.11,525515.0,1496,0.5227334956846023,85.21035598705501
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.6715703044816969,0.26909434854575554,91.67,100.0,100.0,42.2,83.05,372164.0,707,0.4068875217791357,96.37540453074433
구로구,0.515850144092219,0.588235294117647,0.5,0.43516934656175155,0.35942303144951526,58.36,73.33,75.0,38.07,80.88,447874.0,1561,0.4797355632442265,75.27508090614886
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.17242559014710912,0.13407424923149686,80.79,100.0,100.0,56.67,86.47,255082.0,1015,0.1179734153526947,97.99583911234397
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.3865891207663359,0.2922676755734216,61.42,100.0,100.0,36.53,85.53,569384.0,1265,0.3473891475936564,88.64539990753583
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.97,87.63,348646.0,485,0.06372549019607843,100.0
동대문구,0.20461095100864551,0.4705882352941176,0.24999999999999997,0.3140608963393773,0.25088673445258924,84.39,100.0,100.0,41.09,87.4,369496.0,1294,0.298029363418946,95.44151641239019
동작구,0.5273775216138328,0.23529411764705882,0.24999999999999997,0.2743756414642491,0.10002364625206905,48.77,55.56,100.0,35.44,83.09,412520.0,1091,0.27741418539544194,74.63245492371706
마포구,0.5533141210374639,0.5294117647058822,0.5,0.5104344851180294,0.353747930952944,84.01,71.43,100.0,31.82,84.45,389649.0,574,0.4893816603628639,85.92464170134072
서대문구,0.1498559077809798,0.0,0.0,0.25624358535750935,0.13454717427287777,80.52,80.0,100.0,40.73,83.22,327163.0,962,0.10812933348227338,88.87424872861767
서초구,0.8386167146974062,0.23529411764705882,0.5,0.5378036264112214,0.21565381886970914,63.36,66.67,75.0,41.4,87.45,450310.0,1930,0.4654736555250791,77.17984281091077
성동구,0.06916426512968299,0.23529411764705882,0.16666666666666666,0.18611016079370513,0.029557815086308836,94.44,88.89,100.0,37.15,86.54,311244.0,1062,0.1373586050646845,94.08691631992602
성북구,0.13832853025936598,0.0,0.24999999999999997,0.24700650017105708,0.1707259399385198,82.67,80.0,100.0,41.51,83.97,461260.0,1464,0.16121219407378856,89.72491909385111
송파구,0.340057636887608,0.4705882352941176,0.75,0.7444406431748204,0.42752423740837076,80.91,76.92,90.91,34.86,84.55,667483.0,618,0.5465221505529834,85.10171058714747
양천구,0.8069164265129682,0.8235294117647058,0.6666666666666666,0.9999999999999999,1.0,77.49,84.21,100.0,48.47,83.07,479978.0,2034,0.8594225009888682,90.90152565880719
영등포구,0.5561959654178674,1.0,0.9999999999999999,0.6503592199794731,0.4930243556396311,62.03,90.91,85.71,33.0,82.89,402985.0,904,0.7399159082073943,81.95561719833563
용산구,0.2651296829971181,0.5294117647058822,0.24999999999999997,0.16900444748546017,0.13312839914873498,89.18,100.0,100.0,37.7,83.12,244203.0,1624,0.26933485886743913,94.77577438742487
은평구,0.18443804034582129,0.23529411764705882,0.08333333333333334,0.2911392405063291,0.27571529912508874,84.94,66.67,100.0,37.15,86.92,494388.0,1873,0.21398400619152627,86.8423485899214
종로구,0.31412103746397696,0.35294117647058826,0.33333333333333337,0.3835100923708519,0.19058879167651932,76.3,81.82,83.33,38.32,84.21,162820.0,1002,0.31489888626305396,84.13777161349975
중구,0.19596541786743515,0.23529411764705882,0.08333333333333334,0.5080396852548751,0.1742728777488768,65.29,66.67,66.67,33.71,88.31,133240.0,671,0.2393810863703158,74.1215903837263
중랑구,0.24495677233429397,0.35294117647058826,0.9166666666666666,0.36674649332877174,0.32158902813904,79.14,81.82,92.31,38.83,84.55,414503.0,660,0.44058002738787205,87.06657420249653
